trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
121,False,"{'a': 0.5, 'e': 0.9516000000000053}",25,0,-178.09182924835088,"{0: 12, 1: 3, 2: 6, 3: 2, 4: 2}",0
122,False,"{'a': 0.5, 'e': 0.9512000000000054}",25,0,-151.02336218722184,"{0: 8, 1: 5, 2: 10, 3: 2, 4: 0}",0
123,False,"{'a': 0.5, 'e': 0.9508000000000054}",25,0,-53.94071040095649,"{0: 17, 1: 4, 2: 3, 3: 1, 4: 0}",0
124,False,"{'a': 0.5, 'e': 0.9504000000000055}",30,0,-258.8263058741277,"{0: 17, 1: 3, 2: 4, 3: 1, 4: 5}",0
125,False,"{'a': 0.5, 'e': 0.9500000000000055}",20,0,-95.54500648806996,"{0: 10, 1: 6, 2: 3, 3: 0, 4: 1}",0
126,False,"{'a': 0.5, 'e': 0.9496000000000056}",20,0,-153.89081503571813,"{0: 7, 1: 6, 2: 5, 3: 0, 4: 2}",0
127,False,"{'a': 0.5, 'e': 0.9492000000000056}",25,0,-210.92790570795185,"{0: 12, 1: 1, 2: 8, 3: 1, 4: 3}",0
128,False,"{'a': 0.5, 'e': 0.9488000000000056}",30,0,-141.05941676857552,"{0: 17, 1: 4, 2: 6, 3: 2, 4: 1}",0
129,False,"{'a': 0.5, 'e': 0.9484000000000057}",25,0,-147.64573579277283,"{0: 15, 1: 2, 2: 5, 3: 1, 4: 2}",0
130,False,"{'a': 0.5, 'e': 0.9480000000000057}",25,0,-134.2642821163294,"{0: 18, 1: 1, 2: 3, 3: 0, 4: 3}",0
131,False,"{'a': 0.5, 'e': 0.9476000000000058}",30,0,-55.629712057906666,"{0: 19, 1: 4, 2: 7, 3: 0, 4: 0}",0
132,False,"{'a': 0.5, 'e': 0.9472000000000058}",25,0,5.891554760071661,"{0: 21, 1: 3, 2: 1, 3: 0, 4: 0}",0
133,False,"{'a': 0.5, 'e': 0.9468000000000059}",25,0,-99.69878640417056,"{0: 16, 1: 4, 2: 3, 3: 1, 4: 1}",0
134,False,"{'a': 0.5, 'e': 0.9464000000000059}",20,0,-90.51325594832745,"{0: 9, 1: 2, 2: 9, 3: 0, 4: 0}",0
135,False,"{'a': 0.5, 'e': 0.946000000000006}",25,0,-68.98076465707013,"{0: 14, 1: 7, 2: 3, 3: 1, 4: 0}",0
136,False,"{'a': 0.5, 'e': 0.945600000000006}",20,0,-111.31213363016697,"{0: 10, 1: 2, 2: 7, 3: 0, 4: 1}",0
137,False,"{'a': 0.5, 'e': 0.945200000000006}",20,0,-52.04580127179039,"{0: 10, 1: 6, 2: 4, 3: 0, 4: 0}",0
138,False,"{'a': 0.5, 'e': 0.9448000000000061}",20,0,-128.3484702387234,"{0: 12, 1: 1, 2: 4, 3: 1, 4: 2}",0
139,False,"{'a': 0.5, 'e': 0.9444000000000061}",20,0,-41.99402572580952,"{0: 13, 1: 3, 2: 4, 3: 0, 4: 0}",0
140,False,"{'a': 0.5, 'e': 0.9440000000000062}",20,0,-26.404898771918738,"{0: 14, 1: 4, 2: 2, 3: 0, 4: 0}",0
141,False,"{'a': 0.5, 'e': 0.9436000000000062}",25,6,-46.763462272846596,"{0: 13, 1: 5, 2: 0, 3: 0, 4: 1}",1
142,False,"{'a': 0.5, 'e': 0.9432000000000063}",25,0,-205.3566405796457,"{0: 14, 1: 1, 2: 5, 3: 2, 4: 3}",0
143,False,"{'a': 0.5, 'e': 0.9428000000000063}",20,0,-37.96029528892332,"{0: 13, 1: 3, 2: 4, 3: 0, 4: 0}",0
144,False,"{'a': 0.5, 'e': 0.9424000000000063}",25,0,-83.90430553741676,"{0: 17, 1: 2, 2: 4, 3: 1, 4: 1}",0
145,False,"{'a': 0.5, 'e': 0.9420000000000064}",20,0,-116.72376175339039,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",0
146,False,"{'a': 0.5, 'e': 0.9416000000000064}",20,0,-101.77717945659148,"{0: 13, 1: 3, 2: 2, 3: 0, 4: 2}",0
147,False,"{'a': 0.5, 'e': 0.9412000000000065}",25,0,-90.09863283551995,"{0: 16, 1: 1, 2: 6, 3: 2, 4: 0}",0
148,False,"{'a': 0.5, 'e': 0.9408000000000065}",25,0,-112.37913421691967,"{0: 15, 1: 3, 2: 5, 3: 1, 4: 1}",0
149,False,"{'a': 0.5, 'e': 0.9404000000000066}",20,0,-45.78641795821968,"{0: 15, 1: 3, 2: 1, 3: 0, 4: 1}",0
150,False,"{'a': 0.5, 'e': 0.9400000000000066}",20,10,-92.03025102247958,"{0: 5, 1: 0, 2: 2, 3: 2, 4: 1}",1
151,False,"{'a': 0.5, 'e': 0.9396000000000067}",20,0,-67.05737751299193,"{0: 12, 1: 3, 2: 3, 3: 2, 4: 0}",0
152,False,"{'a': 0.5, 'e': 0.9392000000000067}",25,0,-91.62027162206547,"{0: 16, 1: 3, 2: 4, 3: 1, 4: 1}",0
153,False,"{'a': 0.5, 'e': 0.9388000000000067}",20,0,-87.36758594561277,"{0: 13, 1: 0, 2: 6, 3: 0, 4: 1}",0
154,False,"{'a': 0.5, 'e': 0.9384000000000068}",25,0,-183.31320658745335,"{0: 16, 1: 2, 2: 3, 3: 0, 4: 4}",0
155,False,"{'a': 0.5, 'e': 0.9380000000000068}",20,0,-141.19764891066316,"{0: 8, 1: 4, 2: 5, 3: 2, 4: 1}",0
156,False,"{'a': 0.5, 'e': 0.9376000000000069}",20,0,-73.36539547182542,"{0: 10, 1: 5, 2: 4, 3: 1, 4: 0}",0
157,False,"{'a': 0.5, 'e': 0.9372000000000069}",20,0,-53.339518894337665,"{0: 13, 1: 2, 2: 4, 3: 1, 4: 0}",0
158,False,"{'a': 0.5, 'e': 0.936800000000007}",30,0,-237.13237819703053,"{0: 18, 1: 1, 2: 5, 3: 2, 4: 4}",0
